Станция,Широта,Долгота,Код
кенада,50.127668,139.5886143,966608
пивань,50.4816248,137.0909212,965709
гурское,50.3186245,138.102774,966203
уктур,50.3395834,138.4472884,966307
кенай,50.2005773,138.5918243,966400
мылки,50.3274962,136.7727662,965501
эльбан,50.0815819,136.4935912,965107
кульдур,49.1959222,131.6340328,918106
байкал,51.870378,104.8090101,933604
волжск,55.8628121,48.3610521,251502
сердобск,52.4647006,44.1910619,607804
сия,64.0354452,43.157876,291406
волгодонская,47.5175844,42.1611155,519707
февральск,52.4558816,130.8465734,916100
кондома,52.7900263,87.8591197,866109
пыть-ях,60.7549772,72.844652,797002
качканар,58.7001784,59.5093562,773008
качканар,58.6819578,59.5102028,773008
кунавино,56.452664,61.8306129,795007
кинешма,57.4414053,42.1447851,316707
лебедево,51.3729297,46.2718423,625802
самарка,53.2112578,50.2944917,657705
лагерная,55.8012953,49.0119275,250209
подволошная,56.8997449,59.8871572,781803
подволошная,56.8997133,59.8870115,781803
армязь,56.4108198,53.9316364,256506
жеребцово,55.1038116,83.2641245,852002
пачелма,53.3306119,43.3204061,633001
камень-на-оби,53.7766921,81.2920375,836601
великий устюг,60.7835071,46.2784052,299709
ядриха,61.1973838,46.5114041,299408
пречистое,58.419959,40.3528434,302808
кулой,61.0328636,42.4898829,297900
вага,61.0404449,42.1970969,297807
кизема,61.1165221,44.8383472,298706
отрадо-кубанская,45.2459904,40.8357231,529709
кодино,63.7225305,39.6657201,296503
ледмозеро,64.2581104,32.040172,27709
нижнегорская,45.4501057,34.7355566,472207
нижнегорская,45.4501057,34.7355566,869200
краснофлотская,45.3406319,34.9269654,869107
краснофлотская,45.3406319,34.9269654,472106
монино,55.8435241,38.1977367,235707
серпухов,54.9347142,37.4518444,190205
вязьма,55.1975149,34.3176239,174306
горбачево,53.6000132,37.131028,214700
аксаково,54.0174097,54.1492081,656500
биянка,55.0660584,57.5849529,656105
уваровка,55.5319963,35.6104171,175604
можайск,55.4941907,36.0326381,183201
гагарин,55.5436927,34.9853956,175402
сусоловка,60.818813,47.0577571,273200
бердяуш,55.1587807,59.1445203,806606
энгозеро,65.790021,33.9444321,13602
княжая,66.8197269,32.3546286,14408
малая вишера,58.8463703,32.2216546,41602
данков,53.258497,39.1541254,594206
куликово поле,53.4207099,38.6614964,593902
жданка,53.7788408,38.1119578,224609
ржев-белорусский,56.2719133,34.3102585,63103
мурзинка,57.1738729,60.0973146,771303
кия-шалтырь,55.0339702,88.4975161,884906
вязники,56.2020847,42.1682761,263707
вязники,56.2021685,42.1684599,263707
подмосковная,55.8145299,37.5269566,196305
сыктывкар,61.657882,50.7910421,283908
заволжск,57.5157659,42.1212832,305806
быньговский,57.5852777,60.1101413,770705
северная,53.4389581,55.9021902,226407
северная,67.6027295,63.9105782,226407
северная,53.4455297,59.0406818,226407
северная,54.0784387,38.1685148,226407
северная,58.7657322,59.4790534,226407
северная,55.2890149,61.4243402,226407
северная,51.2357572,58.3689657,226407
северная,57.2794983,60.1140327,226407
шелангер,56.2191177,48.2485737,251803
сурок,56.4431671,48.1255127,252100
суслонгер,56.3115481,48.2505151,251907
шуя,56.8506692,41.3516627,319003
нужьялы,56.7754644,47.6474326,252806
яранск,57.2860522,47.8421143,253008
сольвычегодск,61.2449653,46.8793109,280007
синдор,62.8622325,51.8787291,284900
княжпогост,62.5998935,50.8828176,284506
каратун,55.2332798,48.3995735,249305
клинцы,52.7344311,32.2331823,202101
батарейная,52.3871762,104.1366411,932601
мегет,52.4200901,104.0562074,932508
акулово,55.5028312,36.6891538,180108
панфилово,50.4063101,42.8930692,613400
ноздрачево,51.7899964,36.3281131,208409
латная,51.6577887,38.8908541,596205
подклетное,51.6853212,39.0596062,596309
громово,60.7254647,30.0739027,22705
шакша,54.7806071,56.222392,655304
латышская,55.359256,36.7052022,183409
красноармейск,56.1086341,38.1368411,236108
сала,59.3770987,28.4266377,73406
обшаровка,53.1147933,48.8748665,638304
печоры-псковские,57.837932,27.632577,70709
чад,56.5086243,57.2053304,258501
турма,56.1902907,100.8836296,924304
герби,50.8031861,134.1212594,918500
муранитный,56.7857852,61.3533727,793603
болонь,49.8983897,136.1351272,964809
санболи,49.3636809,135.1889025,964405
лютово,57.4924819,40.119732,315301
ахтуба,48.2759048,46.1964688,616201
успенская,47.6917969,38.6747155,510907
цимлянская,47.6586885,42.0485947,519904
черепаново,54.2296582,83.3772527,852407
литовко,49.2402741,135.1807498,964301
космынино,57.588841,40.7626387,304907
фирово,57.4832038,33.6991093,69307
ростов-товарный,47.2448234,39.7479405,510100
луговое-новое,54.6519169,20.6232621,102100
мурманские ворота,59.9356434,32.3808057,48508
гурьевск,54.2880306,85.965495,862502
бутылицы,55.5063202,41.5067545,243506
глажево,59.6557619,32.1059841,45505
губкин,51.2793142,37.5738384,438001
масловка,51.5623353,39.2462715,597208
гимольская,62.9316049,32.5092827,27107
палатовка,50.4416444,38.2992368,581106
бирюч,50.529605,38.421754,581209
рай,50.3852174,37.8608709,439305
рай,50.385324,37.8609685,439305
принцевка,50.3115023,37.9528796,439409
принцевка,50.3116091,37.9529772,439409
сарга,57.1975026,58.9414606,783207
сарга,57.1975175,58.9413704,783207
глазуновка,52.4976809,36.3301657,216903
агириш,61.9278453,63.0015004,778800
судженка,56.1113563,86.1665601,876007
судженка,56.1113152,86.1665795,876007
добринка,52.1622616,40.4696537,598003
плавица,52.239313,40.3421921,597903
терновка,51.6841475,41.5812261,598709
калмык,51.1147912,41.8651719,584208
народная,51.583582,41.7885721,598802
грибановка,51.4481456,41.9291162,598906
абрамовка,51.1845635,41.0133013,583600
качалино,49.1203143,44.0644535,614600
губаха,58.868546,57.56136,767902
березники-сортировочная,59.3350458,57.0154357,769002
лаки,58.5034374,58.777842,766707
бисер,58.5143241,58.8800398,766606
сан-донато,57.970719,59.9550872,770052
заячья горка,59.4401215,56.7487602,769407
казначеевка,54.0526096,37.5455753,214005
лазарево,53.8482218,37.4916003,214202
плавск,53.707063,37.3133935,214306
толоконное,50.4487085,36.3581993,434301
семь колодезей,45.2992017,35.7728369,868208
семь колодезей,45.2992017,35.7728369,471508
мамут,45.794533,34.4255042,859105
беломестная,50.6774744,36.6294011,434602
беломестная,50.677358,36.6296987,434602
беломестная,50.6774754,36.6294843,434602
беломестная,50.6774825,36.6295655,434602
гостищево,50.7766588,36.6577764,434706
гостищево,50.7766484,36.6578596,434706
гостищево,50.7766646,36.6577082,434706
ярега,63.4288426,53.6076687,285509
ярыженская,50.8395146,42.5411856,613100
отрада,53.1605112,36.3347268,215605
красный гуляй,54.0246043,48.3365416,644606
грязи-волгоградские,52.4853806,39.9515381,597706
томск-грузовой-перевалка,56.5523204,84.9349327,874406
туим,54.3723154,89.9549186,885608
сущево,57.0062736,29.9172733,57102
прокопьевск,53.9068972,86.7462994,863907
бирюсинск,55.9711939,97.8234353,920106
мышастовка,45.3383389,39.0388818,520600
дорогино,54.3621816,83.3103408,852604
товарково,53.6889487,38.17138,224702
рославль 1,53.9539247,32.8751325,177408
каменская,48.3294497,40.2586963,587206
сосново,60.5475317,30.2163593,37503
московка,54.9353207,73.4856208,830003
московка,52.1808393,39.7688625,830003
хлевище,50.5605741,38.5352798,581303
алексеевка,50.6183612,38.6695665,581407
клещиха,54.9660527,82.8194172,850204
придонская,51.0373104,39.5612457,582404
убинская,55.3032191,79.663266,834004
барнаул,53.3512286,83.7568903,840109
позимь,56.8248936,53.2493353,255503
пибаньшур,57.8728241,53.2735883,275901
воткинск,57.0418781,54.0165034,255804
чур,57.1160773,52.9666751,277004
пировская,57.7802888,92.1611846,882205
переславль,56.7349617,38.8862583,313501
артышта 2,54.1143925,86.2563796,862701
теба,53.6430268,88.5476221,886403
вертуновская,52.4176589,43.5294776,607400
екатериновка,52.0554158,44.3442534,608606
тарханы,51.818268,46.1929434,623807
зоринский,51.6480985,46.0056889,623703
чагра,52.6653546,49.3177342,639104
татищево,51.6697367,45.5951626,623506
татищево,51.6697745,45.5951453,623506
селезни,52.8186666,41.1684389,601308
никифоровка,52.887483,40.7828486,601102
кораблино,53.9210421,40.0182554,223705
хоботово,53.0727627,40.3840417,603907
александро-невская,53.4800355,40.2111934,604007
избердей,52.6316721,40.2534054,600307
кистендей,52.1026534,43.6642384,606002
полотняный завод,54.7287808,35.9721791,189104
колышлей,52.7004361,44.5264319,608101
беково,52.4575241,43.7136209,607503
жасминная,51.5896777,45.8472081,623600
рудня,54.9475947,31.0644274,171902
новоузенск,50.4233594,48.1327038,626805
александров гай,50.1337619,48.5356484,626909
осинники,53.6218679,87.310382,865002
сарбала,53.4559429,87.3005183,865604
калтан,53.5253551,87.2744526,865106
мундыбаш,53.2059614,87.2971943,865407
литвиново,55.8402164,85.3518095,873009
литвиново,55.8401815,85.3518732,873009
тутальская,55.7554384,84.9885035,872909
тутальская,55.7553998,84.9885602,872909
егозово,54.6866195,86.0794151,861302
бочаты,54.2529981,86.2176515,862606
байкаим,54.6403971,86.1669735,872608
тюрлема,55.7566599,48.2253309,248904
чилеково,47.8404559,43.4962195,615406
серпухов-ветка,54.9238999,37.3952037,190309
непецино,55.2125778,38.5790745,192304
малино,55.1222562,38.165771,192408
асеевская,53.1083849,45.6896053,634500
гаврилов посад,56.5666198,40.1210163,317606
кохма,56.9513929,41.1398231,318908
горино,56.9832674,41.0640399,318806
тейково,56.8576882,40.5648968,318100
наугольный,56.3594596,38.1767946,236606
наугольный,56.3593871,38.1768603,236606
тихая,58.7685305,57.1052151,995102
тихая,65.9651672,78.1230169,995102
тихая,48.0252895,142.4978022,995102
ахпун,53.1414478,87.4572594,865708
тисуль,56.0718104,88.6914876,880500
тисуль,56.071789,88.6913948,880500
новокузнецк-сортировочный,53.7439606,87.0593573,860009
лев толстой,53.2082976,39.4478783,594303
кушумская,51.644791,48.1219207,627302
кордон,57.4112943,57.9201093,764206
кордон,57.4112591,57.9201703,764206
юг,57.7360674,56.3786457,763006
шамары,57.3496959,58.2239779,764306
шамары,57.3496429,58.2239753,764306
кукуштан,57.6452236,56.5008624,763100
барятинская,54.3086744,34.5278691,187503
бабынино,54.3877744,35.7388102,184609
шепелево,54.0403569,36.0106782,213002
тупик,54.020522,35.8253753,213106
слаговищи,53.9711512,35.8572995,213303
уткинский завод,57.1854507,59.2662478,783404
илим,57.3659141,58.9579673,783508
кын,57.7982059,58.5135439,783809
кормовище,57.8680054,58.0267609,784002
говардово,54.7736472,35.9156539,189208
шайковка,54.2320777,34.3614766,187005
бетлица,54.0120198,33.946734,186407
людиново 2,53.8879877,34.4264993,186905
лысые горы,51.5497348,44.8316892,609000
калининск-саратовский,51.4989673,44.4565747,609104
осенцы,57.9024918,56.1810457,761602
блочная,58.0445134,56.20568,760402
саранинский завод,56.5057454,57.6644577,258802
пудлинговый,56.4998482,57.5422826,258709
щучье озеро,56.4717777,56.6379568,258304
добрянка,58.4924648,56.4272593,764901
ужуиха,56.577403,53.9573045,256604
сайгатка,56.7724594,54.1391295,256703
каучук,56.6663138,53.923937,257301
нытва,57.9262246,55.356736,762906
сукманы,57.9480578,55.4556542,762802
калининград-сортировочный,54.6881068,20.4919956,100001
давлеканово,54.215796,55.0285616,657108
давлеканово,54.2158695,55.0284567,657108
пычас,56.5010626,52.4396211,254708
кама,56.2975044,54.1112657,257000
хотмыжск,50.5133848,35.8287828,436203
алнаши,56.118275,52.5640057,255109
новые пески,61.8337241,32.9459784,25703
иматозеро,61.8460116,33.08821,25603
дубинино,55.6220456,89.1006052,884501
лунгачи,60.116536,32.6526263,48705
колчаново,60.0445073,32.6006379,48601
расшеватка,45.488567,41.2071573,526503
кресты,55.2758309,37.1050981,181403
баган,54.0955704,77.6547674,837500
сузун,53.8082704,82.3146285,836809
безменово,54.0844413,83.4045274,841008
поныри,52.3185357,36.3073072,217107
крутояр,55.5704354,90.0019553,885006
молвино,53.7954751,48.4078658,644409
красный холм,58.0487401,37.1053844,51303
виледь,61.3119218,47.5305835,281103
правотомск,55.3932911,86.0245298,871408
ишаново,55.3223034,85.9696697,871200
предкомбинат,55.3602795,86.0299531,871304
титан,67.5613817,33.6249937,15805
латыши,55.5329766,86.1660076,871709
кендери,55.9011625,49.2664007,253103
туапсе-сортировочная,44.1089035,39.0958585,533403
ингашская,56.2013,96.5155813,893905
солянка,56.0030549,95.1989249,893303
красное село,59.7311174,30.1040874,34308
тайцы,59.6636709,30.102693,34204
котлы,59.6128707,28.7578855,74606
черкесск,44.2376037,42.068981,531003
ураковская,44.4398521,41.9141289,530809
канзыба,54.3199763,93.2249342,888606
большая ирба,54.0811065,92.9424853,889204
сандово,58.4622479,36.4044062,42802
шерегеш,52.9217312,87.9739488,866306
атиг,56.6778629,59.4434709,782401
канифольная,56.2606012,97.3417225,894306
новохайская,57.7557935,97.4232254,895600
гаревой,57.187685,97.7503563,895205
чунояр,57.4451934,97.4990218,895402
новобирюсинская,56.9601454,97.7153012,895101
черманчет,56.8754779,97.6836338,895008
тамтачет,57.2697877,97.7350479,895309
кучеткан,57.8564172,97.3956231,895703
плашечная,56.7805227,97.7204919,894908
карабула,58.0747002,97.3270304,895807
полесск,54.855507,21.1007028,104708
знаменск,54.6149608,21.2148791,101706
ярцево,55.0663808,32.651901,172300
шишино,55.3619598,85.2215094,870801
топки,55.2781238,85.6153071,871107
эркен-шахар,44.3779891,41.9571314,530903
бушевец,57.8532978,34.15272,52804
аппаратная,56.8715296,60.6750715,780800
кедровка,57.0073638,60.7749455,785109
копалуха,57.1190084,60.961456,785306
шершни,55.1033929,61.3667564,800205
торбеево,54.0724701,43.2412919,640605
ипатово,45.7073965,42.9172225,528301
курсавка,44.4552825,42.4989185,531408
печенга,69.509418,31.1631194,18004
манас,42.7278928,47.6813838,543706
ермолаево,52.6977866,55.792351,653501
нерехта,57.4619062,40.5486878,315507
бурмакино,57.4368255,40.3192985,315403
фурманов,57.2451294,41.1148524,316001
ермолино,57.0963256,41.2468583,316302
купчинская,59.8257694,30.4195547,33108
среднерогатская,59.8167241,30.3567684,34909
заневский пост,59.9394341,30.5063852,36905
кимовск,53.9651823,38.5366296,227202
бобрик-донской,53.9629081,38.3117712,225601
сортавала,61.6948484,30.6745636,23708
тымовск,50.8363122,142.6786735,997502
нестеров,54.6286255,22.5788975,100500
тоцкая,52.5075043,52.8166673,811106
палево,50.6384338,142.6925372,997409
буюклы,49.54953,142.8665451,996603
туманово,48.7248469,142.8352478,175205
азотная,54.9770473,33.3590438,172705
лермонтовский,44.0626418,43.064591,532006
кульшарипово,54.8616013,52.1577948,647801
миннибаево,54.8332871,52.2677696,647708
находка-восточная,42.7748193,133.1007241,985906
лобазиха,58.4388195,65.6770726,788605
урдома,61.7556342,48.5469022,281404
мурмаши,68.8198934,32.8188118,17105
ставрополь,45.0554794,42.0000824,527008
тольятти,53.5662265,49.2951753,637301
алакуртти,66.9635991,30.3436501,14709
зарайск,54.7685684,38.883244,234301
тихорецкая,55.7376227,49.1280249,250603
тихорецкая,55.7376227,49.1280249,520102
тихорецкая,45.8491991,40.1176705,250603
тихорецкая,45.8491991,40.1176705,520102
цон,52.9261922,36.0288418,216208
кромская,52.9413983,36.0577763,216104
толкай,53.4583875,51.5288423,659103
кашпир,53.0625045,48.4093693,636101
серные воды 1,53.9063616,51.2317496,658806
богатое,53.0666879,51.3250716,810404
голышманово,56.3898273,68.377323,791400
лефортово,55.7627946,37.7460652,199303
лефортово,55.7647338,37.7067382,199303
новопролетарская,55.7242373,37.730944,199801
куранах,58.7940505,125.5495314,914105
ефремов,53.1486167,38.1255529,225300
ефремов,54.8137905,124.3026906,225300
пронино,54.2634052,51.864334,647303
полковая,57.7885098,28.3012436,71006
понятовка,53.7938321,32.4661836,177802
вагонозавод,57.9543391,60.0886235,770300
порхов,57.7662332,29.5304105,57704
новоизборск,57.7746884,27.9694929,70802
суоярви 1,62.0826411,32.3413951,25807
коммунистическая,61.6748009,64.483875,779004
алябьево,61.2026921,62.8544119,778209
пяйве,68.9693284,32.4541366,17302
андреаполь,56.6461571,32.2632925,67903
акташ,54.9941656,52.1113624,648005
биклянь,55.5913571,51.9707057,648202
высокая гора,55.9326676,49.311135,253207
тихоново,55.8300083,52.2513946,648908
куланга,55.4605227,48.4220705,249201
албаба,55.6135638,48.3379769,249108
нарышево,54.4969811,53.4953752,650804
апсалямово,54.5551312,53.3943411,650700
малорефтинская,57.1300644,61.7168681,784303
большой двор,59.6029529,33.9483943,47401
назаровка,54.3014739,41.2958182,221600
назаровка,58.0175227,55.9642281,221600
скачки,44.0501259,42.9954782,532203
курлово,55.4481368,40.6194057,242109
столбовая,55.2487421,37.4937222,190609
сергино,62.4624054,65.5977039,779305
металлургическая,55.2346961,61.4477613,801208
острогожск,50.8498353,39.1015167,581708
харп-северное сияние,66.8098564,65.8123758,289800
эсино,56.180962,41.4741348,240809
смычка,57.9401498,59.9823574,770005
подберезье,58.7013344,31.3630711,40703
дербент,42.0562847,48.3067955,544501
урожайная,45.5017277,34.2934231,856304
урожайная,45.5017277,34.2934231,475000
шерекино,51.6914046,35.2469574,205909
энергетик,54.4914003,37.0243144,211505
шагол,55.2366461,61.2888623,803307
завязовская,57.9545695,60.019709,770404
хаджох,44.2920679,40.1843357,535108
каменоломни,47.664826,40.1943306,513109
ефремовская,45.3524089,34.1786905,856408
ефремовская,45.3524089,34.1786905,474900
шлюзовая,58.0805246,38.698703,312208
осеченка,57.5442037,34.8020329,62505
старатель,57.8532003,60.0249842,770508
нижняя салда,58.087706,60.7590981,772202
ива,58.0190564,60.3788943,771708
алапаевск,57.8565305,61.6851609,786506
ясашная,57.9437298,61.1786652,772306
ясашная,57.9462114,61.1668743,772306
рубцовск,51.5159768,81.2027153,843408
шпалопропитка,48.5245043,44.5844056,611903
морозовская,48.3510844,41.8390205,588302
новорудная,51.4993466,58.1959021,813900
старый оскол,51.3131494,37.8553942,438506
новозыбков,52.5232942,31.9478088,202205
бекетовская,48.5808296,44.4408439,611602
тенино,57.7089488,39.687232,312706
молот,57.6739511,39.7596127,313107
лом,57.871325,39.1489273,312509
сотниково,55.0586617,38.1512314,192501
алатырь,54.8498937,46.5781811,247600
торопец,56.5139807,31.6479968,67706
нелидово,56.2211523,32.7789086,64708
костомукша-товарная,64.6320889,30.7891137,27802
иня-восточная,55.110203,83.0041241,851601
благодать,58.3129014,59.7926588,773205
москва-товарная-смоленская,55.7721738,37.556479,198207
оленино,56.2044362,33.4880618,64500
новосмоленская,54.7835976,32.1025309,176405
бахметское,57.069438,64.409637,792403
верх-нейвинск,57.2540889,60.1191531,771200
куса,55.3529129,59.4033668,807007
джабык,53.1639029,59.9645736,817102
кашира-товарная,54.8468576,38.1611487,191903
смоленск-сортировочный,54.8107993,32.1241426,170004
балахна,56.4835302,43.5772696,261805
таштагол,52.7694532,87.9058083,866403
ключи-славгородские,52.2598479,79.1984265,844909
аконъярви,62.7379487,32.6977671,26809
айнак,53.1822768,78.4771128,837303
бурла,53.3323761,78.3291506,837407
новоблаговещенка,52.8200752,79.902083,845403
леньки,52.9287239,80.4620723,845600
язевка-сибирская,52.3649886,82.5327288,844203
шипуново,52.216084,82.2606418,844100
торжок-южный,57.0039366,34.951643,69006
клетня,53.3940229,33.2061474,178701
угра,54.7784336,34.3423247,174700
голуха,53.8470818,85.4319767,841604
досатуй,50.3985078,118.6367636,946002
оус,60.8928096,61.5035693,777808
краснокаменск,50.1497778,118.0609314,946208
керченский завод,45.3831033,36.4800644,470505
керченский завод,45.3831033,36.4800644,867205
гулькевичи,45.3598495,40.6998039,529605
конаково грэс,56.7176138,36.788521,61201
анна,51.4821162,40.4204956,591201
ульяновск 3,54.3016132,48.3114825,645100
шебекино,50.4043267,36.8928466,434208
сура,53.8887466,45.7519254,641805
мелентьевский,61.0880772,40.2791505,293204
пустынька,59.6603706,30.8426625,32105
входная,54.9453462,73.1890326,830200
входная,53.4385719,59.0677055,830200
входная,56.6248246,85.0439683,830200
печора,65.1583206,57.2344773,288009
шаховская,56.029935,35.5117656,197702
карачев,53.1332311,34.9814682,200500
белые берега,53.2089621,34.6691367,200407
комсомольск-сортировочный,50.4499162,136.9021919,960007
щигры,51.8776144,36.9147116,209007
хальгасо,50.6976523,136.9011761,919804
благовещенск,50.2876527,127.5422812,954704
кокшаровский,56.8511017,62.6131037,793001
кокшаровский,56.8510581,62.6131263,793001
челновая,53.2323218,41.3622567,604401
земетчино,53.4960586,42.5970453,632505
горный лен,51.0095717,59.9015437,814903
ковдор,67.549329,30.4816104,15400
батайск,47.1382185,39.7559594,510007
гай,51.4730908,58.4338523,814104
тамань,45.2807477,36.9929052,523308
ложок,54.562004,83.3269936,852905
рудногорск,57.2750149,103.762046,926206
мыс астафьева,42.7974833,132.8961344,985609
черемхово,53.1488524,103.0845294,930907
лесная,49.9240132,143.2704761,941600
лесная,59.7865462,52.1444097,941600
лесная,59.9865474,30.3456603,941600
лесная,55.1629136,61.3178822,941600
химическая,48.8258413,44.8398159,637104
химическая,53.5277785,49.4794255,637104
химическая,52.8002989,103.5864035,637104
известковая,59.5357416,33.9404413,961604
известковая,48.9836657,131.5561078,961604
коли,59.5021743,34.4964716,47100
итатка,56.8221007,85.6076125,874904
санджик,58.2780773,85.1815024,875709
уразово,50.0799074,38.0573856,438209
азовская,45.5879777,34.5687709,472303
азовская,45.5879777,34.5687709,869304
адуй,57.1445381,61.0476886,785403
щучье,55.2162877,62.7320994,829400
повалиха,53.5073828,83.8432761,840503
моховая падь,50.3684644,127.6158377,954600
погребы,52.6630826,34.5172305,204501
улыбышево,56.0279175,40.3846193,242607
головино,55.9501918,40.4435562,242522
инжавино,52.3198244,42.4804454,602707
воркута,67.4701995,64.0268611,289503
кантемировка,49.6986054,39.8625771,586006
гусь-хрустальный,55.6187235,40.6502239,242202
беломорск,64.5412808,34.775615,13000
алферово,55.5059722,41.216256,243205
восход,56.0888997,41.5397251,240705
нижняя,56.121931,61.8994879,801509
черская,57.585581,28.3142608,70304
череха,57.7471188,28.3698701,70408
корфовская,48.2219685,135.0793455,971201
комиссаровка,55.7074977,40.615692,242306
вурнары,55.4881778,46.9482601,245501
брасово,52.5873541,34.5780648,204605
владимировская пристань,48.2607157,46.1587992,616305
бутурлиновка,50.8173175,40.6463091,583101
гольцовка,53.6171611,45.1087963,630800
бессоновка,53.3039037,45.041946,630505
саловка,52.8213956,44.7288072,608205
покровка-пристань,48.5469744,134.9817633,970800
журавка,49.7701977,39.8179703,585906
ин,48.594207,133.8139349,963402
лойга,61.0826595,44.6124453,298602
селихин,50.3624651,137.4960354,966006
инзер,54.2235001,57.5845032,654006
комсомольск-на-амуре,50.5524701,136.9896578,960103
волочаевка 2,48.5688707,134.5777726,963807
грозный,43.3082631,45.6857454,540002
глушково,51.2883504,34.731162,207302
черниковка-восточная,54.8370987,56.1203711,654805
бензин,54.8324172,56.0906975,654909
лощинная,54.8717799,56.0981298,655102
новоуфимская,54.859622,56.0946036,655009
ферзиково,54.5144723,36.7613168,187908
тросна,53.4768857,33.7927327,178805
жуковка,53.5311378,33.7245646,178504
ржаница,53.4313979,33.9124686,178909
верхняя синега,61.0792641,41.7590439,297582
климов,52.3703114,32.1902573,202402
советская гавань-город,48.9422805,140.2768997,968406
усть-донецкая,47.6428423,40.8254677,512604
сейма,56.2248485,43.1735538,264502
хапры,47.2446383,39.5087121,510505
илеза,61.0530763,43.9061237,298301
илеза,60.7710634,43.9353266,298301
ломоватка,61.1332842,45.5104002,299003
пустошка,56.34065,29.3715506,66402
вязьма-брянская,55.169036,34.3714645,174409
обловка,51.9655472,42.2521895,602001
заполярная,69.4080677,30.7945238,18108
новый оскол,50.760897,37.8701731,439004
митрофановка,49.9679806,39.6964065,585802
новодугинская,55.6307788,34.2959715,173905
олонец,60.9886063,32.9635227,24408
возы,52.1831543,36.275481,217200
свобода,51.9466552,36.364656,217408
череповец-пристань,59.1239909,37.9496566,302403
судиславль,57.9248944,41.6765345,305401
эхилкан,49.7133997,131.8188599,917809
савватия,60.9953752,46.7846249,299802
речушка,56.5279849,102.864698,925909
красная гвардия,45.8284772,41.4916324,518600
волово,53.5580886,37.9939762,224806
слободское,58.7190221,50.1806675,271008
шушары,59.8057985,30.3884693,33004
шушары,59.8200697,30.4328244,33004
орловка,48.8544144,44.5758788,610506
лог,49.4821989,43.8643333,614102
эртиль,51.8480428,40.8114528,598304
белиджи,41.8780332,48.3919383,544709
дагестанские огни,42.1221646,48.2051893,544408
староминская-ейская,46.5090996,39.0527446,515706
весьегонск,58.6541252,37.2651551,51604
новосокольники,56.3439808,30.1472591,66602
чердаклы,54.341504,48.8525641,646009
южно-сахалинск,46.9576876,142.7257362,990700
южно-сахалинск,46.9578291,142.7255485,990700
льняная,56.9011325,34.9436596,64021
старица,56.5370902,34.7783529,63705
рудничная,59.1169686,28.1872574,73105
глубокая,48.5244467,40.3231675,587009
глубокая,58.7516804,59.5171071,587009
глубокая,51.8790194,103.8557526,587009
погорелово,48.4309902,40.2887371,587102
репная,48.1856756,40.4858655,587301
васильевский,48.1763506,40.5565464,587403
какичев,48.1609061,40.7167103,587600
грачи,48.1945434,40.9796572,587808
жердевка,51.838631,41.468973,598501
тацинская,48.1908154,41.2860256,588105
колония,55.1246787,75.2187142,832901
колония,55.1249433,75.2185244,832901
самур,41.825321,48.482935,544802
мамед-кала,42.1642642,48.1146513,544304
обливская,48.5422126,42.5028071,614901
матвеев курган,47.5651939,38.8590708,511103
койсуг,47.0463034,39.6953573,514101
черкасская,47.9429457,41.9985054,588507
куберле,47.0066372,42.2017157,519105
зверевская,48.0463572,40.190605,588904
дондуковская,44.9028702,40.359509,535305
гиагинская,44.8451761,40.0974127,535201
гиагинская,44.8434962,40.0937611,535201
христофоровка,46.8701614,142.7467429,990607
чернышков,48.426602,42.2176319,614808
белая калитва,48.1746631,40.7935933,587704
конармейская,46.9735449,40.046263,517105
кагальник,46.8978106,40.1779688,517203
мечетинская,46.7892387,40.4736276,517400
целина,46.539418,41.0323377,517608
абазинка,44.1502024,42.0263958,531107
пресня,55.7665972,37.5171072,198508
игирма,57.1272825,103.8925061,926102
долинск,47.3270818,142.7904642,992000
политово,53.3436646,38.9642465,594002
бабарыкино,52.9487735,38.2393907,593508
бабарыкино,52.9487739,38.2395445,593508
бабарыкино,52.9487737,38.2394673,593508
становая,52.7545289,38.313987,593404
телегино,52.6977849,38.3697131,593300
улусарка,52.5436162,38.6823522,597000
улусарка,52.5435703,38.6824118,597000
гусев,54.5848768,22.1987383,100707
сокол,47.2396744,142.7454969,991506
сокол,47.2396762,142.7452546,991506
сокол,55.805267,37.5150534,991506
чаадаевка,53.1407115,45.9193647,634604
юргамыш,55.3694995,64.4574061,829106
арья,57.4927877,45.9620212,266705
калачинская,55.0433689,74.5782167,832808
калачинская,55.0435729,74.5783514,832808
кабожа,58.8045546,35.0300238,43203
долбино,50.4976955,36.391453,434405
промышленная,57.9547431,60.0159622,861209
промышленная,54.9136745,85.6424873,861209
промышленная,55.618032,32.4073607,861209
промышленная,44.1174821,42.9547276,861209
ербинская,53.9783325,90.3102661,885805
сон,54.1624366,90.2115761,885701
ранцево,56.9310504,34.0401472,68709
нижнедевицк,51.6858454,38.3298194,595908
горшечное,51.5209826,38.0313092,595202
кривецкая,51.3440184,37.0715157,437808
полевая,51.6062091,36.5058625,437403
обоянь,51.2022987,36.2810055,435304
клюква,51.6986545,36.2844059,437507
вичка,62.931292,34.5489233,11400
кочкома,64.0347037,34.2474546,12008
ладва,61.3485393,34.4563262,49708
падозеро,61.865146,33.9166883,25402
пергуба,62.8033867,34.4569593,11109
унежма,63.7869157,36.6357688,295500
чална-онежская,61.8779527,34.0839249,25309
псел,51.0814097,35.5819163,206704
сосновый бор,51.1173745,35.5147518,206600
арбузово,52.0196098,35.1166599,205006
