Станция,Широта,Долгота,Код
аэропорт,48.792871,44.3579347,180701
аэропорт,55.6099621,37.2660622,180701
яничкино,55.6534701,37.8596249,194507
икша,56.1718602,37.5092777,238103
мулянка,57.8077382,56.3780697,761706
баская,58.5755707,57.7582854,767609
калино,58.2541402,57.6115898,766108
бородино,55.4954504,35.8610891,175807
азиатская,58.3534399,59.5287879,772908
невинномысская,44.6308098,41.963666,531304
пушкино,56.0120839,37.8394137,235904
вязьма-новоторжская,55.2264239,34.3202533,174109
луховицы,54.9824491,39.0418425,234206
северодвинск,64.5735499,39.8508553,290206
гусино,54.7250828,31.3677752,171308
мельничный ручей,60.0189038,30.6794272,36106
износки,54.9883122,35.3095301,189509
красноярск-восточный,55.997624,93.1094098,890201
сумский посад,64.2475741,35.3909389,12703
сулозеро,63.7349415,36.9154948,295604
куша,63.724333,37.0515096,295708
нименга,63.7078666,37.6341039,295905
мудьюга,63.7766261,39.2535214,296408
большая кяма,63.604547,39.9781886,295106
сосновец,64.4311251,34.4691524,12309
кузема,65.3533689,34.2656932,13509
кузема,65.3533484,34.2656396,13509
кузема,65.3534239,34.2657725,13509
кузема,65.3533957,34.2657169,13509
амбарный,65.8976864,33.7096462,13706
лоухи,66.0753895,33.0591445,13801
чупа,66.2663501,32.9666766,14304
белое море,67.0810171,32.2662328,14802
пинозеро,67.3171879,32.4983375,15102
африканда,67.442676,32.7781556,15608
приамурская,48.523289,134.9024777,970209
гривно,55.3566852,37.5268085,190807
внуково,55.6488591,37.2695467,180608
саянтуй,51.6886053,107.4472536,935900
киров-котласский,58.6060914,49.6439695,270306
сокур,55.2110777,83.3241025,851809
сокур,55.2109736,83.3240193,851809
долгушино,58.6397802,49.732572,271309
геологическая,61.3087954,63.3289142,778406
геологическая,56.827831,60.6022393,778406
нягань,62.1355856,65.3865599,779201
верхнезейск,54.6196056,128.5404316,913206
еманжелинск,54.7830874,61.2445179,804600
потанино,55.1838524,61.6210916,801000
инская,54.9643598,83.1196256,850007
боровинка,60.9617562,29.2450409,22508
пашенный,56.441372,102.250902,925203
томмот,58.9675028,126.2266926,914209
бийск,52.5355498,85.1798166,843200
евсино,54.510851,83.3504729,852801
торжок,57.0422891,34.9804503,64106
флюсовая,55.0577191,60.0536659,805800
флюсовая,53.3184772,59.1364155,805800
костино,56.292672,37.781703,236409
лесогорский,61.0491388,28.9253313,22007
пруды,61.012865,29.034504,22103
академическая,55.6878077,37.5735148,62900
академическая,57.7180031,34.3429942,62900
академическая,60.0121125,30.3927366,62900
академическая,52.2550149,104.2645125,62900
академическая,52.2547738,104.2647618,62900
поназырево,58.3546756,46.3154845,307905
поназырево,58.3547518,46.3150563,307905
кизитеринка,47.2297278,39.8269951,513607
минусинск,53.6281325,91.6352617,888305
минусинск,53.6280808,91.6352414,888305
бодеево,51.0570227,39.4862297,597602
колодезная,51.3518443,39.2991191,597301
колодезная,51.3515349,39.2990826,597301
пальники,58.1777892,56.4030523,764600
ферма,57.8943666,56.2991872,761509
гвардейск,54.635771,21.0688877,101803
уторгош,58.2829105,30.2433232,58105
ялуторовск,56.6614511,66.3099092,790802
избербаш,42.5472374,47.8852707,543903
мальчевская,49.0578156,40.3652508,586400
миллерово,48.9213192,40.3926924,586504
чебаркуль,54.9843245,60.3617996,805209
лазаревская,43.9148725,39.320721,533206
войбокало,59.8803374,31.7674612,48207
алейская,52.4952069,82.7892539,844307
заринская,53.7045397,84.9405772,841402
тверская,55.7648953,37.606313,534209
тверская,44.6107978,39.6222573,534209
бахчисарай,44.7558909,33.8493068,473607
бахчисарай,44.7558909,33.8493068,857203
пригородная,60.7521439,28.6502164,21505
арск,56.0769792,49.8881342,253508
псекупс,44.8277452,39.2061235,521904
куеда,56.4283841,55.5965446,258003
баканская,44.8692693,37.8629421,521503
трубная,55.7691136,37.6195511,610101
трубная,48.786224,44.8154243,610101
дубровка,55.7192085,37.6755406,178400
дубровка,53.6894873,33.4988886,178400
тульская,55.7086648,37.6228789,534904
тульская,44.5041028,40.1522858,534904
нагорная,55.6719616,37.610193,767806
нагорная,58.7713567,57.5385165,767806
вербилки,56.538964,37.5599948,238809
курундус,55.0566548,84.7787127,860600
старотитаровка,45.1968421,37.1486735,522502
темрюк,45.2879969,37.3563349,523007
гречишкино,45.3689196,40.1801764,526005
солнечная,47.2405707,39.7551228,180504
солнечная,55.159564,61.3210225,180504
солнечная,55.6572454,37.384817,180504
большая волга,56.7269029,37.1366621,239002
чуфарово,54.0975522,47.3495776,643603
вешкайма,54.0474552,47.1260498,643502
шарлово,53.9711642,46.8586281,643406
чаис,53.8758266,45.9056679,641909
кузнецк,53.1118393,46.6005063,634801
сюзюм,53.1401955,46.2332974,634708
маячная,51.324497,54.9586192,812306
сакмарская,51.9547094,55.3692397,812503
шильда,51.8175094,59.7649583,815709
начальное,53.0525074,60.5815496,816909
загустай,51.3246832,106.4885618,936208
гусиное озеро,51.1148596,106.270043,936405
наушки,50.3890674,106.0998926,936903
джида,50.6871504,106.1860135,936602
варгаши,55.3731739,65.8139457,826900
варгаши,55.3732385,65.8139696,826900
красная речка,48.3529012,135.0884999,971108
карманово,56.2405261,54.5521619,257706
амзя,56.2393226,54.3817154,257509
камбарка,56.2601118,54.2284194,257405
сосновка,56.2451338,51.2921395,254106
сосновка,53.1748852,45.0677142,254106
заструг,56.2470388,51.1943563,254002
шемордан,56.1893664,50.3970329,253601
бирюли,55.9673069,49.4195769,253300
куркачи,56.0075932,49.5730172,253404
кварса,56.9541765,53.9504982,255700
ершов,51.3480164,48.2769696,627206
демьяс,51.2017843,49.123237,628302
рукополь,51.8134491,48.7209286,627507
урман,54.8754446,56.8776181,655704
благовар,54.5791868,54.9254876,651402
покров,55.8919101,39.2177193,231509
покров,55.8919929,39.217645,231509
субутак,53.2373616,59.5716176,817206
куанда,56.322857,116.0749301,906503
голынки,54.8680555,31.3892418,171702
сыростан,55.072167,59.925636,805904
петушки,55.924739,39.4628355,262102
петушки,55.9247749,39.4628359,262102
комбинатская,54.3309678,59.413981,831504
комбинатская,55.0615413,73.2980731,831504
комбинатская,64.6477577,30.7537234,831504
комбинатская,55.0615585,73.2980824,831504
комбинатская,58.6984337,59.5103442,831504
комбинатская,56.849071,59.9168481,831504
черлак,53.8793854,75.1137282,835308
табуны,52.7693874,78.7843847,837002
оросительный,53.5802958,91.04481,886206
севастополь,44.5951934,33.5289657,857701
севастополь,44.5951934,33.5289657,473306
казинка,52.5503399,39.7366984,592100
дон,52.6340912,38.9124344,592905
тула-вяземская,54.208975,37.6289001,210305
